RegionName,Date,HomeValue,MORTGAGE30US
"Jamestown, NY",2000-01,57446.22996904763,8.21
"Cleveland, TN",2000-01,101138.94751089127,8.21
"Augusta, ME",2000-01,84591.30601263636,8.21
"Altoona, PA",2000-01,80162.91801423246,8.21
"New Bern, NC",2000-01,100238.4415885769,8.21
"Goldsboro, NC",2000-01,91444.62355625868,8.21
"Brunswick, GA",2000-01,133824.19818698295,8.21
"California, MD",2000-01,167052.9929597853,8.21
"Cookeville, TN",2000-01,97519.51531604836,8.21
"Roseburg, OR",2000-01,101137.7732555874,8.21
"Lewiston, ME",2000-01,85765.60006978922,8.21
"Ogdensburg, NY",2000-01,48116.75705544072,8.21
"Bluefield, WV",2000-01,66771.99426353924,8.21
"Show Low, AZ",2000-01,95704.72947451683,8.21
"Tullahoma, TN",2000-01,93646.99393124276,8.21
"Ithaca, NY",2000-01,87715.78427960482,8.21
"Bay City, MI",2000-01,88150.01219120939,8.21
"Danville, VA",2000-01,72287.34517493342,8.21
"Hot Springs, AR",2000-01,87611.65700642299,8.21
"Adrian, MI",2000-01,94970.3766594584,8.21
"Sevierville, TN",2000-01,121069.61874215746,8.21
"Ashtabula, OH",2000-01,67458.62138298967,8.21
"Ocean City, NJ",2000-01,164694.7290027214,8.21
"Corning, NY",2000-01,80909.8924896064,8.21
"Clarksburg, WV",2000-01,66499.07588161879,8.21
"Pine Bluff, AR",2000-01,49313.47120933299,8.21
"Lufkin, TX",2000-01,88423.09359751182,8.21
"Zanesville, OH",2000-01,74099.30361905196,8.21
"Meadville, PA",2000-01,58701.2275788732,8.21
"Russellville, AR",2000-01,88058.75207543747,8.21
"Midland, MI",2000-01,108883.47090292913,8.21
"Bloomsburg, PA",2000-01,107810.8624988733,8.21
"Stillwater, OK",2000-01,96006.70591170588,8.21
"DuBois, PA",2000-01,62221.589710388274,8.21
"Glenwood Springs, CO",2000-01,196010.78471317177,8.21
"Chillicothe, OH",2000-01,93349.9122657354,8.21
"Keene, NH",2000-01,99247.21655508743,8.21
"Findlay, OH",2000-01,117501.41454547388,8.21
"Frankfort, KY",2000-01,97642.98265389317,8.21
"Danville, IL",2000-01,47516.43184237589,8.21
"Kapaa, HI",2000-01,158328.11280775265,8.21
"Shawnee, OK",2000-01,64974.229313062366,8.21
"Greeneville, TN",2000-01,77227.39899280778,8.21
"Greenwood, SC",2000-01,62994.785225285894,8.21
"Klamath Falls, OR",2000-01,79924.51050853946,8.21
"Morehead City, NC",2000-01,145021.10467529562,8.21
"Roanoke Rapids, NC",2000-01,55265.10894665783,8.21
"North Wilkesboro, NC",2000-01,74183.35360753631,8.21
"Marinette, WI",2000-01,75063.95756825175,8.21
"Dublin, GA",2000-01,89250.85158520356,8.21
"Somerset, KY",2000-01,48335.91123123026,8.21
"Laconia, NH",2000-01,113020.92854771776,8.21
"Hudson, NY",2000-01,108270.45488434412,8.21
"Marietta, OH",2000-01,87602.37034210512,8.21
"Fremont, OH",2000-01,96203.28393543082,8.21
"Oneonta, NY",2000-01,54958.64716250431,8.21
"Batavia, NY",2000-01,79986.71997583348,8.21
"Ardmore, OK",2000-01,62754.197537457614,8.21
"Carson City, NV",2000-01,143180.42065913577,8.21
"Ontario, OR",2000-01,85024.42965957288,8.21
"Waycross, GA",2000-01,68307.46340314604,8.21
"Tiffin, OH",2000-01,78009.74166347338,8.21
"Batesville, AR",2000-01,78141.93456064665,8.21
"Danville, KY",2000-01,80363.2796134045,8.21
"Gloversville, NY",2000-01,63120.341918609134,8.21
"Payson, AZ",2000-01,91769.02213576334,8.21
"Bartlesville, OK",2000-01,68409.26777139363,8.21
"Oil City, PA",2000-01,49782.118597321714,8.21
"Shelbyville, TN",2000-01,97008.6571413619,8.21
"Malone, NY",2000-01,61866.59996648747,8.21
"Nogales, AZ",2000-01,74021.99210470075,8.21
"Cortland, NY",2000-01,64379.240688311635,8.21
"Mount Sterling, KY",2000-01,80552.7388847893,8.21
"Plymouth, IN",2000-01,97767.5034270494,8.21
"Moultrie, GA",2000-01,78703.68586344775,8.21
"Coldwater, MI",2000-01,109992.98237077496,8.21
"McAlester, OK",2000-01,67432.4493359192,8.21
"Sedalia, MO",2000-01,58471.199709706256,8.21
"Tifton, GA",2000-01,110024.24517007892,8.21
"Austin, MN",2000-01,70372.9309672226,8.21
"Okeechobee, FL",2000-01,77375.10259394371,8.21
"Houghton, MI",2000-01,98734.2275427793,8.21
"Clewiston, FL",2000-01,55884.93312633126,8.21
"Urbana, OH",2000-01,100097.28511016346,8.21
"Defiance, OH",2000-01,84062.66711273062,8.21
"Safford, AZ",2000-01,102077.27967659711,8.21
"Murray, KY",2000-01,58912.43787890611,8.21
"Bennington, VT",2000-01,122950.03820916582,8.21
"Pontiac, IL",2000-01,73677.15012290512,8.21
"Newport, TN",2000-01,68667.41526093415,8.21
"Columbus, NE",2000-01,75436.79798414223,8.21
"Arcadia, FL",2000-01,64823.993319380235,8.21
"Seneca Falls, NY",2000-01,76424.69411713272,8.21
"Malvern, AR",2000-01,66420.87588626085,8.21
"Dayton, TN",2000-01,76192.27086896698,8.21
"Jackson, OH",2000-01,72783.40421509977,8.21
"Berlin, NH",2000-01,71046.09385487203,8.21
"Miami, OK",2000-01,48513.15381078011,8.21
"Jesup, GA",2000-01,86468.27239107309,8.21
"Washington Court House, OH",2000-01,96313.1570222734,8.21
"Van Wert, OH",2000-01,72482.08913026795,8.21
"Camden, AR",2000-01,78688.370420989,8.21
"Thomaston, GA",2000-01,58125.27487269848,8.21
"Toccoa, GA",2000-01,71852.6580005354,8.21
"Wauchula, FL",2000-01,64327.21000145906,8.21
"Summerville, GA",2000-01,69461.08483122205,8.21
"Prineville, OR",2000-01,93137.70417629628,8.21
"Hood River, OR",2000-01,181828.900472122,8.21
"Forrest City, AR",2000-01,58403.94121492871,8.21
"Brookings, OR",2000-01,144380.44347611573,8.21
"Magnolia, AR",2000-01,92749.92322517643,8.21
"Sterling, CO",2000-01,91978.08649428478,8.21
"Arkadelphia, AR",2000-01,79561.82421420838,8.21
"Cordele, GA",2000-01,74014.36661812197,8.21
"Vineyard Haven, MA",2000-01,335479.00940199353,8.21
"Fitzgerald, GA",2000-01,63200.31295070196,8.21
"Craig, CO",2000-01,100581.80851710556,8.21
"New York, NY",2000-02,221176.92272464,8.325
"Los Angeles, CA",2000-02,226509.5892323875,8.325
"Chicago, IL",2000-02,156943.76789965737,8.325
"Houston, TX",2000-02,126212.21607467656,8.325
"Washington, DC",2000-02,184486.11716377464,8.325
"Philadelphia, PA",2000-02,124799.74219161416,8.325
"Miami, FL",2000-02,115978.8721380395,8.325
"Atlanta, GA",2000-02,151861.02472426157,8.325
"Boston, MA",2000-02,224932.19787708364,8.325
"San Francisco, CA",2000-02,297224.48767894926,8.325
"Riverside, CA",2000-02,139097.27733377728,8.325
"Detroit, MI",2000-02,125963.14528787397,8.325
"Seattle, WA",2000-02,228137.84321016807,8.325
"Minneapolis, MN",2000-02,149455.08954434493,8.325
"San Diego, CA",2000-02,221204.6323058396,8.325
"Tampa, FL",2000-02,102836.288387032,8.325
"Denver, CO",2000-02,193787.4092756937,8.325
"Baltimore, MD",2000-02,145511.3999049519,8.325
"St. Louis, MO",2000-02,116670.79036765976,8.325
"Orlando, FL",2000-02,121010.5180268943,8.325
"Charlotte, NC",2000-02,146652.07475481322,8.325
"San Antonio, TX",2000-02,116329.73633334917,8.325
"Portland, OR",2000-02,177684.17304153333,8.325
"Sacramento, CA",2000-02,172384.43794084812,8.325
"Pittsburgh, PA",2000-02,89804.18841322087,8.325
"Cincinnati, OH",2000-02,130863.8377840522,8.325
"Austin, TX",2000-02,180060.1102474138,8.325
"Las Vegas, NV",2000-02,156952.12687443948,8.325
"Kansas City, MO",2000-02,115249.11757899252,8.325
"Columbus, OH",2000-02,129618.226793813,8.325
"Cleveland, OH",2000-02,120573.87505343588,8.325
"Nashville, TN",2000-02,145245.99724628113,8.325
"Virginia Beach, VA",2000-02,120731.3917058888,8.325
"Providence, RI",2000-02,144527.20588093385,8.325
"Jacksonville, FL",2000-02,116574.10083634817,8.325
"Milwaukee, WI",2000-02,149014.7165996711,8.325
"Oklahoma City, OK",2000-02,93820.93526624324,8.325
"Raleigh, NC",2000-02,175429.2074015445,8.325
"Memphis, TN",2000-02,117214.1659859026,8.325
"Louisville, KY",2000-02,114241.01049481018,8.325
"New Orleans, LA",2000-02,140555.67355682468,8.325
"Salt Lake City, UT",2000-02,178188.5237693528,8.325
"Hartford, CT",2000-02,150942.02027266932,8.325
"Buffalo, NY",2000-02,90345.7468614943,8.325
"Birmingham, AL",2000-02,114721.49239641184,8.325
"Rochester, NY",2000-02,103834.18507954667,8.325
"Grand Rapids, MI",2000-02,125760.82852916927,8.325
"Urban Honolulu, HI",2000-02,223550.12989463,8.325
"Tulsa, OK",2000-02,102974.16966773804,8.325
"Fresno, CA",2000-02,113975.02626257036,8.325
"Worcester, MA",2000-02,162380.47903333246,8.325
"Omaha, NE",2000-02,123145.22899899817,8.325
"Bridgeport, CT",2000-02,266655.24130960007,8.325
"Greenville, SC",2000-02,121175.70940173898,8.325
"Bakersfield, CA",2000-02,99492.1770385144,8.325
"Albany, NY",2000-02,119283.4830368854,8.325
"Knoxville, TN",2000-02,107647.9643253852,8.325
"New Haven, CT",2000-02,148023.8855169753,8.325
"El Paso, TX",2000-02,100117.82103771676,8.325
"Allentown, PA",2000-02,120565.70094708994,8.325
"Oxnard, CA",2000-02,265684.37527548405,8.325
"North Port, FL",2000-02,134341.7738734413,8.325
"Charleston, SC",2000-02,133680.11189007387,8.325
"Greensboro, NC",2000-02,112287.91248878658,8.325
"Stockton, CA",2000-02,164826.66549816082,8.325
"Cape Coral, FL",2000-02,129835.52319931312,8.325
"Colorado Springs, CO",2000-02,166913.08616351566,8.325
"Akron, OH",2000-02,110631.42943990113,8.325
"Des Moines, IA",2000-02,118670.81431574168,8.325
"Springfield, MA",2000-02,129725.5180378216,8.325
"Ogden, UT",2000-02,162688.94806272164,8.325
"Madison, WI",2000-02,153182.2493350422,8.325
"Winston, NC",2000-02,119284.73810621022,8.325
"Deltona, FL",2000-02,102419.65832277812,8.325
"Syracuse, NY",2000-02,79913.27623126828,8.325
"Toledo, OH",2000-02,86758.1183543544,8.325
"Augusta, GA",2000-02,98863.98850632214,8.325
"Palm Bay, FL",2000-02,107422.37674447414,8.325
"Harrisburg, PA",2000-02,119983.45228760064,8.325
"Spokane, WA",2000-02,124959.4752909991,8.325
"Scranton, PA",2000-02,87358.55781477771,8.325
"Chattanooga, TN",2000-02,119768.5037879774,8.325
"Modesto, CA",2000-02,145415.76334663364,8.325
"Portland, ME",2000-02,140523.02540612762,8.325
"Youngstown, OH",2000-02,81205.7348574662,8.325
"Lansing, MI",2000-02,98175.11065731526,8.325
"Fayetteville, NC",2000-02,114001.6136108415,8.325
"Lexington, KY",2000-02,126623.5769682808,8.325
"Pensacola, FL",2000-02,112539.31130491616,8.325
"Santa Rosa, CA",2000-02,269777.40946838254,8.325
"Reno, NV",2000-02,180975.45339255664,8.325
"Port St. Lucie, FL",2000-02,104959.6253807795,8.325
"Visalia, CA",2000-02,107629.21599695084,8.325
"Asheville, NC",2000-02,120465.9072639944,8.325
"Vallejo, CA",2000-02,188648.63698955427,8.325
"Santa Maria, CA",2000-02,275473.3459114275,8.325
"Salinas, CA",2000-02,263441.159878233,8.325
"Salem, OR",2000-02,145824.64749701583,8.325
"Mobile, AL",2000-02,92998.17528121707,8.325
"Reading, PA",2000-02,105902.8651523909,8.325
"Manchester, NH",2000-02,149320.87824716576,8.325
"Salisbury, MD",2000-02,136746.16942030957,8.325
"Canton, OH",2000-02,93958.32617835514,8.325
"Savannah, GA",2000-02,122228.35326558688,8.325
"Trenton, NJ",2000-02,152142.16445625934,8.325
"Montgomery, AL",2000-02,118895.50075944528,8.325
"Tallahassee, FL",2000-02,113062.12978862756,8.325
"Eugene, OR",2000-02,150846.19940510154,8.325
"Ann Arbor, MI",2000-02,184960.89307112663,8.325
"Hickory, NC",2000-02,94998.0796974766,8.325
"Fort Collins, CO",2000-02,195658.76512582297,8.325
"Rockford, IL",2000-02,78719.34899162137,8.325
"Lincoln, NE",2000-02,122223.81697345852,8.325
"Gainesville, FL",2000-02,107324.50994418674,8.325
"Boulder, CO",2000-02,233345.8866391966,8.325
"Greeley, CO",2000-02,178209.06431891548,8.325
"Clarksville, TN",2000-02,113496.01664237666,8.325
"Evansville, IN",2000-02,97735.31588980665,8.325
"Kingsport, TN",2000-02,95008.65846628048,8.325
"Utica, NY",2000-02,67303.06269373817,8.325
"Hagerstown, MD",2000-02,129151.77450599648,8.325
"San Luis Obispo, CA",2000-02,208564.17744515027,8.325
"Crestview, FL",2000-02,147470.0913682077,8.325
"Cedar Rapids, IA",2000-02,114139.21308573516,8.325
"Atlantic City, NJ",2000-02,111628.70948285324,8.325
"Bremerton, WA",2000-02,161184.61262555106,8.325
"Santa Cruz, CA",2000-02,300398.7360212506,8.325
"Erie, PA",2000-02,90425.72799240988,8.325
"Norwich, CT",2000-02,153315.42509678737,8.325
"Tuscaloosa, AL",2000-02,105448.64423471333,8.325
"Kalamazoo, MI",2000-02,124964.68134948896,8.325
"Lynchburg, VA",2000-02,112123.95155931124,8.325
"Charleston, WV",2000-02,83360.17596989608,8.325
"Binghamton, NY",2000-02,68576.0457069139,8.325
"Fort Smith, AR",2000-02,88300.64827400586,8.325
"Topeka, KS",2000-02,82636.85672964584,8.325
"Macon, GA",2000-02,91070.28119534446,8.325
"Barnstable Town, MA",2000-02,199075.368382644,8.325
"Daphne, AL",2000-02,134393.82511594117,8.325
"Burlington, VT",2000-02,138697.1921402404,8.325
"Rochester, MN",2000-02,127034.99262325087,8.325
"Lafayette, IN",2000-02,108028.89794743853,8.325
"Medford, OR",2000-02,152690.54130511358,8.325
"Hilton Head Island, SC",2000-02,188377.75963145017,8.325
"Athens, GA",2000-02,133496.99287335284,8.325
"Lake Havasu City, AZ",2000-02,99617.96626148866,8.325
"Johnson City, TN",2000-02,92064.23108177049,8.325
"Gainesville, GA",2000-02,144998.3296864093,8.325
"Saginaw, MI",2000-02,78983.93907891517,8.325
"Warner Robins, GA",2000-02,110252.5944863937,8.325
"Torrington, CT",2000-02,152485.59090341468,8.325
"Punta Gorda, FL",2000-02,89337.02255551537,8.325
"Redding, CA",2000-02,113098.31253881675,8.325
"Kingston, NY",2000-02,118931.33943548742,8.325
"Panama City, FL",2000-02,111395.58609634772,8.325
"Jackson, TN",2000-02,97721.04347468408,8.325
"Bowling Green, KY",2000-02,100201.11551151105,8.325
"Muskegon, MI",2000-02,89156.33245802324,8.325
"Bloomington, IL",2000-02,139905.15878505737,8.325
"Pueblo, CO",2000-02,107625.42537144078,8.325
"Blacksburg, VA",2000-02,97640.26225690098,8.325
"Kahului, HI",2000-02,195048.16668005713,8.325
"Sebastian, FL",2000-02,116529.68318175978,8.325
"Vineland, NJ",2000-02,101537.97601422164,8.325
"Idaho Falls, ID",2000-02,113669.24982234262,8.325
"Grand Junction, CO",2000-02,142566.59176070703,8.325
"Niles, MI",2000-02,116115.60959785816,8.325
"Monroe, MI",2000-02,147078.22890217957,8.325
"Concord, NH",2000-02,126116.13938624522,8.325
"Traverse City, MI",2000-02,125958.70068462376,8.325
"Bangor, ME",2000-02,83889.83016802015,8.325
"Homosassa Springs, FL",2000-02,89809.89681998457,8.325
"London, KY",2000-02,60905.73764475339,8.325
"Flagstaff, AZ",2000-02,151289.40477193487,8.325
"Rocky Mount, NC",2000-02,86315.63084037666,8.325
"Winchester, VA",2000-02,120278.7666245482,8.325
"Wheeling, WV",2000-02,55088.652171084555,8.325
"Napa, CA",2000-02,256616.11388754885,8.325
"Springfield, OH",2000-02,75447.38535905277,8.325
"Battle Creek, MI",2000-02,82640.60948124621,8.325
"Jonesboro, AR",2000-02,89710.1359934652,8.325
"Pittsfield, MA",2000-02,132167.21470714512,8.325
"Mount Vernon, WA",2000-02,156642.14485343813,8.325
"Jamestown, NY",2000-02,57697.849163540755,8.325
"Cleveland, TN",2000-02,101248.66966486337,8.325
"Augusta, ME",2000-02,85015.5654605881,8.325
"Altoona, PA",2000-02,80358.38899975357,8.325
"New Bern, NC",2000-02,100412.34514789564,8.325
"Goldsboro, NC",2000-02,91434.59690156524,8.325
"Brunswick, GA",2000-02,133070.06159281364,8.325
"California, MD",2000-02,166947.0944763304,8.325
"Cookeville, TN",2000-02,97581.718990059,8.325
"Roseburg, OR",2000-02,101167.4542793116,8.325
"Lewiston, ME",2000-02,85848.13699045805,8.325
"Ogdensburg, NY",2000-02,48311.20082899733,8.325
"Bluefield, WV",2000-02,66690.55633232245,8.325
"Show Low, AZ",2000-02,95885.9419719214,8.325
"Tullahoma, TN",2000-02,93745.08116090109,8.325
"Ithaca, NY",2000-02,88045.42757358632,8.325
"Bay City, MI",2000-02,88210.71895736539,8.325
"Danville, VA",2000-02,72430.21038450892,8.325
"Hot Springs, AR",2000-02,87498.62982686356,8.325
"Adrian, MI",2000-02,95186.4147389006,8.325
"Sevierville, TN",2000-02,121260.5147440069,8.325
"Ashtabula, OH",2000-02,67587.8797587269,8.325
"Ocean City, NJ",2000-02,165422.86529285222,8.325
"Corning, NY",2000-02,81205.79115380021,8.325
"Clarksburg, WV",2000-02,66595.07951870674,8.325
"Pine Bluff, AR",2000-02,49357.62002149353,8.325
"Lufkin, TX",2000-02,88401.71169022191,8.325
"Zanesville, OH",2000-02,74387.5472639819,8.325
"Meadville, PA",2000-02,59173.463394432496,8.325
"Russellville, AR",2000-02,87919.39330070764,8.325
"Midland, MI",2000-02,108833.18693677949,8.325
"Bloomsburg, PA",2000-02,108061.415280587,8.325
"Stillwater, OK",2000-02,96100.08870507634,8.325
"DuBois, PA",2000-02,62276.67178882624,8.325
"Glenwood Springs, CO",2000-02,196614.69133748068,8.325
"Chillicothe, OH",2000-02,93723.6423608672,8.325
"Keene, NH",2000-02,99617.35944817236,8.325
"Findlay, OH",2000-02,117743.97780968354,8.325
